line,round,client,train_acc,train_loss,train_avg_loss,train_total,log
1898,2,40,0.520312,444.638842,0.694748,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1904,2,1,0.528125,444.042923,0.693817,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1908,2,19,0.49375,445.951464,0.696799,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1912,2,29,0.51875,443.618093,0.693153,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1916,2,17,0.4875,445.161516,0.695565,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1920,2,26,0.504687,446.576996,0.697777,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1924,2,5,0.509375,446.343933,0.697412,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1928,2,41,0.521875,443.282125,0.692628,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1932,2,31,0.49375,447.824959,0.699726,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1936,2,21,0.515625,445.443441,0.696005,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1940,2,45,0.535937,444.931486,0.695205,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1944,2,42,0.503125,449.298065,0.702028,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1948,2,9,0.49375,447.630697,0.699423,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1952,2,50,0.473438,446.592394,0.697801,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1956,2,8,0.521875,444.264376,0.694163,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1960,2,12,0.520312,444.268641,0.69417,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1964,2,48,0.501563,446.942284,0.698347,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1968,2,28,0.504687,446.497217,0.697652,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1972,2,13,0.515625,444.245388,0.694133,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1976,2,3,0.509375,444.831656,0.695049,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1980,2,49,0.495312,445.648277,0.696325,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1984,2,22,0.478125,449.041414,0.701627,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1988,2,7,0.48125,447.797235,0.699683,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
1992,2,14,0.509375,443.958046,0.693684,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2152,3,19,0.5125,444.890688,0.695142,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2156,3,42,0.528125,445.317097,0.695808,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2160,3,17,0.526563,446.505928,0.697666,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2164,3,13,0.485938,449.704676,0.702664,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2168,3,24,0.545312,439.323118,0.686442,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2172,3,40,0.514062,445.005598,0.695321,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2176,3,28,0.510938,448.183914,0.700287,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2180,3,45,0.475,453.62355,0.708787,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2184,3,35,0.490625,449.124344,0.701757,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2188,3,4,0.492188,447.203773,0.698756,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2194,3,1,0.510938,449.257093,0.701964,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2198,3,37,0.490625,445.503168,0.696099,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2202,3,48,0.492188,447.025621,0.698478,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2206,3,36,0.476562,447.171301,0.698705,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2210,3,2,0.504687,444.675892,0.694806,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2214,3,29,0.4875,446.615347,0.697836,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2218,3,27,0.496875,446.666092,0.697916,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2222,3,9,0.48125,447.679434,0.699499,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2226,3,30,0.49375,445.202417,0.695629,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2230,3,5,0.523438,446.695724,0.697962,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2234,3,49,0.492188,446.15485,0.697117,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2238,3,8,0.528125,443.176321,0.692463,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2242,3,3,0.5125,447.04015,0.6985,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2246,3,10,0.507812,446.513159,0.697677,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2250,3,50,0.448437,449.724413,0.702694,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2254,3,25,0.528125,442.098785,0.690779,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2258,3,32,0.489063,447.966223,0.699947,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2262,3,7,0.509375,446.424694,0.697539,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2266,3,12,0.504687,445.695648,0.696399,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2270,3,31,0.546875,442.983158,0.692161,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2274,3,41,0.501563,445.476046,0.696056,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2278,3,47,0.501563,446.288174,0.697325,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2282,3,15,0.509375,445.088793,0.695451,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2286,3,44,0.5375,443.742142,0.693347,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2290,3,20,0.498437,444.749866,0.694922,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2294,3,39,0.484375,448.845127,0.701321,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
2298,3,22,0.485938,448.495296,0.700774,640,results/overnight_proxy_phase_bba_orth_a_c50_r4_lr1e-2_seed1.log
